You can make many different cookies with leftover ingredients from the holiday season.  Here is an alphabetical list of cookie ideas for you:

1.        Almond meltaway cookies
2.        Almond spritz cookies
3.        Brown sugar chocolate chip cookies
4.        Brown sugar cookies
5.        Brown sugar shortbread cookies
6.        Chewy molasses cookies
7.        Chocolate and vanilla cookies
8.        Chocolate chip cheesecake bars
9.        Chocolate chip cookie cups
10.        Chocolate chip cookies
11.        Chocolate crinkles
12.        Chocolate orange drops
13.        Chocolate peanut butter chip cookies
14.        Cinnamon brownie cookies
15.        Cinnamon roll sugar cookies
16.        Cinnamon tea cookies
17.        Cream cheese cut our cookies
18.        Cream cheese sugar cookies
19.        Double chocolate chip cookies
20.        Espresso brownie sandwich cookies
21.        Frosted almond cookies
22.        Ginger cookies with an orange glaze
23.        Honey cinnamon cookies
24.        Honey cinnamon cookies
25.        Orange sugar cookies
26.        Orange vanilla cookies
27.        Peanut butter chip cookies
28.        Peanut butter cookies
29.        Peanut butter-filled chocolate chip cookies
30.        Pinwheel cookies
31.        Pumpkin chocolate chip cookies
32.        Pumpkin cookies with brown sugar icing
33.        Pumpkin spice cookies
34.        Pumpkin sugar cookies with cream cheese frosting
35.        Salty honey cookies
36.        Vanilla bean cookies
37.        Vanilla shortbread with a chocolate glaze
